data_type,url,topic
Article,https://isha.sadhguru.org/in/en/wisdom/article/mahabharat-episode-12-kaurava-brothers-born-bad-sign,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/mahabharat-episode-11-origins-pandavas,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/krishna-stories,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/raas-leela-dance-passion,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/mahabharat-ep10-yadava-clan-krishnas-birth,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/mahabharat-ep9-amba-thirsts-for-revenge,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/mahabharat-ep8-ambas-plight,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/mahabharat-ep7-devavrata-becomes-bhishma,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/mahabharat-ep6-birth-of-devavrata,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/mahabharat-ep5-shantanu-meets-ganga,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/mahabharat-ep4-shakuntala-birth-of-bharata,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/mahabharat-ep3-curses-blessings,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/origin-of-chandravamshis,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/what-dharma-is,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/brihaspatis-curse-taras-child,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/veda-vyasa-compiler-of-vedas,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/lighting-right-fire-within,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/krishnas-guru-dakshina-in-the-land-of-the-nagakanyas,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/mahabharat-living-story,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/bhagavad-gita-krishna,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/krishna-in-mahabharata,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/krishnas-game-of-war,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/mahabharata-stories-krishna-stories-short,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/no-black-and-white-in-life,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/duryodhana,Mahabharat
Article,https://isha.sadhguru.org/in/en/wisdom/article/am-i-the-body,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/how-to-manifest-what-you-want,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/naraka-chaturdashi-story-diwali-legend,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/communication-is-the-key,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/namaskar-meaning,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/how-to-live-life-of-adventure,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/brahmacharya-meaning-significance,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/ganesh-chaturthi-festival-signifcance,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/consciousness-quotes,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/what-is-consciousness-states-myths,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/stop-overthinking,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/preparing-for-death-living-dying-gracefully,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/death-dying-meaning-of-life,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/arranged-marriage,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/depression-causes-how-to-overcome,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/what-is-positive-thinking-dangers,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/isha-sanghamitra-crafting-conscious-planet,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/21-sadhguru-quotes-death,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/national-doctors-day-2020-covid-19-crisis,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/sadhgurus-ideas-post-pandemic-world,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/7-ways-sadhguru-become-part-of-solution,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/mystic-decodes-covid-19,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/best-place-to-be-zen-story,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/meaning-of-life,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/bamboos-zen-story,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/a-book-on-death-raw-and-shocking,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/importance-of-timing-in-life,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/how-yoga-can-help-alzheimers-dementia,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/ayahuasca-parasitic-purging,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/free-india-water-crisis,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/3-reasons-India-water-crisis,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/soil-real-wealth-nation,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/farmers-save-tamilnadu-drought,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/blind-man-lamp-zen-story,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/sync-with-everything,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/3-kinds-yogis,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/raghu-rai-clicks-sadhguru,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/bad-news-about-soil,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/youth-handle-fast-paced-life-busy-schedules,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/infrastructure-raising-human-consciousness,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/sufi-saint-ibrahim-story,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/zen-story-simple-question-knotty-problem,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/future-technology-boon-bane,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/gratitude-for-guru,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/kailash-three-dimensions,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/role-luck-life,Consciousness
